,0
0,弧
1,棱
2,弦
3,腰
4,圆
5,内径
6,距离
7,等分
8,大弧
9,直线
10,形心
11,点圆
12,外切
13,等圆
14,圆柱
15,顶角
16,圆的
17,终边
18,螺线
19,旋转
20,力偶
21,交线
22,交点
23,相离
24,正弦
25,交角
26,直径
27,钝角
28,图尺
29,边长
30,内心
31,垂足
32,焦弦
33,相交
34,弧线
35,切线
36,对边
37,底角
38,椭圆
39,底面
40,补角
41,极角
42,外心
43,邻边
44,圆心
45,度数
46,曲线
47,周长
48,小圆
49,余弦
50,垂线
51,弧长
52,等边
53,棱柱
54,平面
55,焦距
56,对称
57,侧棱
58,扇形
59,菱形
60,相切
61,矩形
62,切点
63,切面
64,楔体
65,圆锥
66,半径
67,半圆
68,直角
69,定长
70,复角
71,顶点
72,准线
73,邻角
74,夹角
75,母线
76,量度
77,长度
78,反角
79,球面
80,圆周
81,锐角
82,共圆
83,球形
84,优弧
85,共面
86,棱锥
87,圆弧
88,对角
89,形状
90,基圆
91,倾角
92,体积
93,起点
94,外角
95,端点
96,倾斜
97,梯形
98,平移
99,焦点
100,高度
101,坡度
102,大圆
103,铅垂
104,俯角
105,球体
106,球冠
107,几何
108,始点
109,小弧
110,公弦
111,面角
112,劣弧
113,立体
114,始边
115,负角
116,斜线
117,偶数
118,奇数
119,中点
120,内角
121,仰角
122,圆台
123,弧度
124,虚圆
125,棱台
126,矩体
127,正角
128,割线
129,平分
130,正切
131,等距
132,外径
133,射线
134,法线
135,饼图
136,垂直
137,内切
138,重心
139,外离
140,半球
141,斜角
142,立方
143,距心
144,斜棱
145,主角
146,等弧
147,圆形
148,斜面
149,全等
150,半角
151,圆角
152,平行
153,中线
154,扇式
155,平角
156,斜边
157,优角
158,面积
159,周角
160,旁心
161,余角
162,等角
163,线段
164,长轴
165,垂心
166,轨迹
167,椭球体
168,大扇形
169,弧度法
170,共线面
171,对角线
172,优扇形
173,二视图
174,圆面积
175,圆周长
176,内分角
177,九边形
178,弓形角
179,方位角
180,垂直于
181,圆心角
182,几何学
183,劣弓形
184,弹性体
185,二倍角
186,对称点
187,相似比
188,斜圆锥
189,优弓形
190,正方体
191,交错角
192,顶垂线
193,三角比
194,圆周率
195,立方体
196,横截面
197,线条图
198,量角器
199,三等分
200,连心线
201,垂直线
202,矩形图
203,多边形
204,相交角
205,横截轴
206,弦切角
207,非线性
208,投射线
209,旋转体
210,特殊角
211,半球体
212,切点弦
213,临界域
214,单位圆
215,旋轮线
216,离心圆
217,拋物线
218,半长轴
219,横坐标
220,一般解
221,圆锥摆
222,离心率
223,共圆点
224,直棱柱
225,不等式
226,联变分
227,正半轴
228,解析式
229,逆函数
230,共轴系
231,完整数
232,正指数
233,代数式
234,同顶角
235,圆瓣图
236,几何板
237,逆命解
238,同心圆
239,中垂线
240,小扇形
241,正焦弦
242,对称轴
243,误差项
244,近似数
245,蜗牛线
246,正割法
247,双曲线
248,投射角
249,极限角
250,拟柱体
251,主视图
252,长方体
253,外摆线
254,五边形
255,位似比
256,正切表
257,十边形
258,六边形
259,八边形
260,半主轴
261,直线系
262,辅助角
263,极坐标
264,均方根
265,劣扇形
266,下底面
267,单调性
268,旋输线
269,三角形
270,曲率圆
271,虚实线
272,对称性
273,延长线
274,对应边
275,正方形
276,非奇异
277,半副轴
278,上底面
279,扇形角
280,小弓形
281,角运动
282,倾斜角
283,旁切圆
284,相似形
285,轴截距
286,大弓形
287,条线图
288,旋转角
289,行向量
290,平面图
291,对预角
292,三角柱
293,参变量
294,参差的
295,内摆线
296,公位数
297,成比例
298,临界值
299,三角尺
300,可加性
301,四边形
302,三倍角
303,八面体
304,公共弦
305,法线式
306,直观图
307,贯性矩
308,多面体
309,余因式
310,斜棱柱
311,三棱柱
312,整方根
313,同余类
314,直角坐
315,全等形
316,离心角
317,正因数
318,旋转面
319,四面体
320,二面角
321,圆周角
322,倾斜率
323,余函数
324,角柱体
325,半短轴
326,零假设
327,抛物面
328,圆柱面
329,直方图
330,负半轴
331,条件句
332,公垂线
333,圆函数
334,三视图
335,螺旋线
336,半平面
337,中位线
338,正梭柱
339,逆比例
340,内对角
341,方向角
342,角方向
343,正方向
344,条形图
345,内错角
346,中心角
347,对顶角
348,公切线
349,辅助线
350,弧度制
351,负矢量
352,七边形
353,梭柱体
354,参考角
355,内切圆
356,俯视图
357,弦心距
358,棒形图
359,平方和
360,旋转轴
361,外接圆
362,自由度
363,有向角
364,钟形图
365,相交线
366,圆柱体
367,横切面
368,三角板
369,左视图
