,0
0,幂
1,商
2,除式
3,同构
4,映上
5,映入
6,主轴
7,极小
8,除数
9,公比
10,无解
11,补余
12,序偶
13,实根
14,指数
15,短轴
16,斜率
17,截段
18,互素
19,根式
20,首项
21,定点
22,下凹
23,倍数
24,约分
25,增根
26,整式
27,截距
28,乘法
29,减法
30,对数
31,余项
32,点积
33,变量
34,底数
35,移项
36,消法
37,代数
38,函数
39,中数
40,常项
41,满秩
42,次根
43,数轴
44,数式
45,平方
46,分子
47,并项
48,合数
49,数集
50,正数
51,共轭
52,满射
53,实部
54,等式
55,象限
56,极差
57,连比
58,商式
59,乘方
60,分母
61,公倍
62,内积
63,减量
64,根心
65,上凸
66,倍角
67,共点
68,非负
69,加数
70,可积
71,除法
72,下凸
73,模数
74,后乘
75,升幂
76,通分
77,截点
78,原点
79,不等
80,配方
81,模长
82,商数
83,无穷
84,正割
85,乘以
86,小数
87,初值
88,质数
89,素数
90,常数
91,恒等
92,线性
93,复数
94,商集
95,重数
96,算式
97,实轴
98,约数
99,元素
100,减数
101,假值
102,上限
103,负数
104,互质
105,根号
106,加法
107,等根
108,余数
109,十位
110,因式
111,等价
112,向量
113,凸性
114,合比
115,离差
116,y轴
117,方程
118,首数
119,坐标
120,x轴
121,异号
122,倒数
123,实数
124,纵轴
125,移轴
126,斜高
127,点集
128,比率
129,卦限
130,斜度
131,乘式
132,进率
133,因子
134,单根
135,虚部
136,个位
137,阶乘
138,因数
139,整数
140,公约
141,等号
142,集合
143,可数
144,同余
145,非零
146,虚根
147,重根
148,幂集
149,分式
150,系数
151,补集
152,子集
153,合取
154,等比
155,转置
156,截线
157,乘积
158,正定
159,分比
160,焦轴
161,分数
162,开方
163,除以
164,后项
165,主项
166,真数
167,横轴
168,凸函数
169,基准线
170,小于号
171,连续数
172,商法则
173,零矩阵
174,负指数
175,二次项
176,被乘数
177,蕴涵式
178,带分数
179,余因子
180,多项式
181,加减法
182,数值法
183,条件式
184,复合数
185,对称式
186,判别式
187,多重根
188,矢量和
189,自变量
190,三项式
191,配方法
192,万分位
193,分配律
194,小数点
195,绝对值
196,超越数
197,公式法
198,假分数
199,有理数
200,负实数
201,消去律
202,欧拉图
203,生成元
204,不等号
205,零指数
206,三次的
207,等于号
208,不变量
209,三次方
210,递推式
211,逆对数
